#  raio      kapbf      kapff      sigmae      kaptot     densidade
  0.225D+00  0.425D+01  0.561D+00  0.341D+00  0.515D+01   0.308D+02
  0.220D+00  0.419D+01  0.554D+00  0.341D+00  0.509D+01   0.321D+02
  0.215D+00  0.414D+01  0.547D+00  0.341D+00  0.503D+01   0.334D+02
  0.210D+00  0.409D+01  0.540D+00  0.341D+00  0.497D+01   0.347D+02
  0.205D+00  0.404D+01  0.533D+00  0.341D+00  0.491D+01   0.361D+02
  0.200D+00  0.399D+01  0.526D+00  0.341D+00  0.485D+01   0.376D+02
  0.195D+00  0.394D+01  0.520D+00  0.341D+00  0.480D+01   0.391D+02
  0.190D+00  0.389D+01  0.514D+00  0.341D+00  0.475D+01   0.407D+02
  0.185D+00  0.385D+01  0.509D+00  0.341D+00  0.470D+01   0.424D+02
  0.180D+00  0.381D+01  0.503D+00  0.341D+00  0.466D+01   0.441D+02
  0.175D+00  0.378D+01  0.499D+00  0.341D+00  0.462D+01   0.459D+02
  0.170D+00  0.375D+01  0.495D+00  0.341D+00  0.458D+01   0.479D+02
  0.165D+00  0.372D+01  0.491D+00  0.341D+00  0.455D+01   0.499D+02
  0.160D+00  0.370D+01  0.488D+00  0.341D+00  0.453D+01   0.521D+02
  0.155D+00  0.368D+01  0.487D+00  0.341D+00  0.451D+01   0.543D+02
  0.150D+00  0.368D+01  0.486D+00  0.341D+00  0.451D+01   0.568D+02
  0.145D+00  0.368D+01  0.486D+00  0.341D+00  0.451D+01   0.594D+02
  0.140D+00  0.370D+01  0.488D+00  0.341D+00  0.453D+01   0.622D+02
  0.135D+00  0.373D+01  0.492D+00  0.341D+00  0.456D+01   0.652D+02
  0.130D+00  0.378D+01  0.499D+00  0.341D+00  0.462D+01   0.685D+02
  0.125D+00  0.386D+01  0.509D+00  0.341D+00  0.471D+01   0.721D+02
  0.120D+00  0.397D+01  0.524D+00  0.341D+00  0.484D+01   0.762D+02
  0.115D+00  0.414D+01  0.546D+00  0.341D+00  0.502D+01   0.808D+02
  0.110D+00  0.438D+01  0.578D+00  0.341D+00  0.530D+01   0.862D+02
  0.105D+00  0.463D+01  0.611D+00  0.341D+00  0.558D+01   0.920D+02
  0.100D+00  0.473D+01  0.625D+00  0.341D+00  0.570D+01   0.977D+02
  0.950D-01  0.465D+01  0.614D+00  0.341D+00  0.560D+01   0.103D+03
  0.938D-01  0.451D+01  0.596D+00  0.341D+00  0.545D+01   0.105D+03
  0.912D-01  0.438D+01  0.578D+00  0.341D+00  0.530D+01   0.108D+03
  0.887D-01  0.424D+01  0.561D+00  0.341D+00  0.515D+01   0.110D+03
  0.862D-01  0.412D+01  0.543D+00  0.341D+00  0.500D+01   0.113D+03
  0.838D-01  0.399D+01  0.527D+00  0.341D+00  0.486D+01   0.115D+03
  0.813D-01  0.386D+01  0.510D+00  0.341D+00  0.471D+01   0.118D+03
  0.788D-01  0.374D+01  0.494D+00  0.341D+00  0.457D+01   0.121D+03
  0.762D-01  0.362D+01  0.477D+00  0.341D+00  0.443D+01   0.124D+03
  0.737D-01  0.349D+01  0.461D+00  0.341D+00  0.430D+01   0.127D+03
  0.712D-01  0.337D+01  0.446D+00  0.341D+00  0.416D+01   0.130D+03
  0.688D-01  0.326D+01  0.430D+00  0.341D+00  0.403D+01   0.134D+03
  0.663D-01  0.314D+01  0.414D+00  0.341D+00  0.389D+01   0.137D+03
  0.638D-01  0.302D+01  0.399D+00  0.341D+00  0.376D+01   0.141D+03
